;hour_of_day;act1
279;15.0;0.0
280;16.0;4.0
281;17.0;4.0
282;18.0;4.0
283;19.0;5.0
284;20.0;5.0
285;21.0;0.0
286;22.0;6.0
287;23.0;6.0
288;0.0;6.0
289;1.0;6.0
290;2.0;6.0
291;3.0;6.0
292;4.0;6.0
293;5.0;6.0
294;6.0;0.0
295;7.0;0.0
296;8.0;1.0
297;9.0;1.0
298;10.0;0.0
299;11.0;0.0
300;12.0;3.0
301;13.0;0.0
302;14.0;0.0
303;15.0;0.0
304;16.0;0.0
305;17.0;0.0
306;18.0;4.0
307;19.0;5.0
308;20.0;5.0
309;21.0;0.0
310;22.0;0.0
311;23.0;6.0
312;0.0;6.0
313;1.0;6.0
314;2.0;6.0
315;3.0;6.0
316;4.0;6.0
317;5.0;6.0
318;6.0;6.0
319;7.0;6.0
320;8.0;6.0
321;9.0;1.0
322;10.0;0.0
323;11.0;0.0
324;12.0;0.0
325;13.0;3.0
326;14.0;3.0
327;15.0;0.0
328;16.0;0.0
329;17.0;0.0
330;18.0;0.0
331;19.0;5.0
332;20.0;5.0
333;21.0;0.0
334;22.0;6.0
335;23.0;6.0
336;0.0;6.0
337;1.0;6.0
338;2.0;6.0
339;3.0;6.0
340;4.0;6.0
341;5.0;6.0
342;6.0;6.0
343;7.0;4.0
344;8.0;1.0
345;9.0;1.0
346;10.0;0.0
347;11.0;0.0
348;12.0;0.0
349;13.0;3.0
350;14.0;3.0
351;15.0;0.0
352;16.0;4.0
353;17.0;4.0
354;18.0;0.0
355;19.0;5.0
356;20.0;5.0
357;21.0;0.0
358;22.0;6.0
359;23.0;6.0
360;0.0;6.0
361;1.0;6.0
362;2.0;6.0
363;3.0;6.0
364;4.0;6.0
365;5.0;6.0
366;6.0;6.0
367;7.0;6.0
368;8.0;4.0
369;9.0;0.0
370;10.0;0.0
371;11.0;0.0
372;12.0;4.0
373;13.0;3.0
374;14.0;3.0
375;15.0;0.0
376;16.0;4.0
377;17.0;0.0
378;18.0;5.0
379;19.0;5.0
380;20.0;0.0
381;21.0;4.0
382;22.0;6.0
383;23.0;6.0
384;0.0;6.0
385;1.0;6.0
386;2.0;6.0
387;3.0;6.0
388;4.0;6.0
389;5.0;6.0
390;6.0;6.0
391;7.0;6.0
392;8.0;6.0
393;9.0;1.0
394;10.0;1.0
395;11.0;0.0
396;12.0;0.0
397;13.0;3.0
398;14.0;0.0
399;15.0;0.0
400;16.0;0.0
401;17.0;0.0
402;18.0;5.0
403;19.0;5.0
404;20.0;4.0
405;21.0;0.0
406;22.0;6.0
407;23.0;6.0
408;0.0;6.0
409;1.0;6.0
410;2.0;6.0
411;3.0;6.0
412;4.0;6.0
413;5.0;6.0
414;6.0;6.0
415;7.0;6.0
416;8.0;1.0
417;9.0;1.0
418;10.0;0.0
419;11.0;0.0
420;12.0;0.0
421;13.0;3.0
422;14.0;0.0
423;15.0;0.0
424;16.0;0.0
425;17.0;0.0
426;18.0;5.0
427;19.0;5.0
428;20.0;0.0
429;21.0;0.0
430;22.0;6.0
431;23.0;6.0
432;0.0;6.0
433;1.0;6.0
434;2.0;6.0
435;3.0;6.0
436;4.0;6.0
437;5.0;6.0
438;6.0;6.0
439;7.0;6.0
440;8.0;6.0
441;9.0;1.0
442;10.0;1.0
443;11.0;0.0
444;12.0;3.0
445;13.0;3.0
446;14.0;0.0
447;15.0;0.0
448;16.0;0.0
449;17.0;0.0
450;18.0;5.0
451;19.0;5.0
452;20.0;4.0
453;21.0;0.0
454;22.0;6.0
455;23.0;6.0
456;0.0;6.0
457;1.0;6.0
458;2.0;6.0
459;3.0;6.0
460;4.0;6.0
461;5.0;6.0
462;6.0;6.0
463;7.0;6.0
464;8.0;6.0
465;9.0;1.0
466;10.0;1.0
467;11.0;0.0
468;12.0;0.0
469;13.0;3.0
470;14.0;0.0
471;15.0;0.0
472;16.0;4.0
473;17.0;0.0
474;18.0;0.0
475;19.0;5.0
476;20.0;5.0
477;21.0;0.0
478;22.0;0.0
479;23.0;6.0
480;0.0;6.0
481;1.0;6.0
482;2.0;6.0
483;3.0;6.0
484;4.0;6.0
485;5.0;6.0
486;6.0;6.0
487;7.0;6.0
488;8.0;1.0
489;9.0;1.0
490;10.0;0.0
491;11.0;0.0
492;12.0;0.0
493;13.0;3.0
494;14.0;3.0
495;15.0;0.0
496;16.0;0.0
497;17.0;0.0
498;18.0;5.0
499;19.0;5.0
500;20.0;0.0
501;21.0;0.0
502;22.0;6.0
503;23.0;6.0
504;0.0;6.0
505;1.0;6.0
506;2.0;6.0
507;3.0;6.0
508;4.0;6.0
509;5.0;6.0
510;6.0;6.0
511;7.0;1.0
512;8.0;1.0
513;9.0;0.0
514;10.0;0.0
515;11.0;4.0
516;12.0;3.0
517;13.0;4.0
518;14.0;0.0
519;15.0;0.0
520;16.0;0.0
521;17.0;0.0
522;18.0;0.0
523;19.0;5.0
524;20.0;5.0
525;21.0;4.0
526;22.0;0.0
527;23.0;6.0
528;0.0;6.0
529;1.0;6.0
530;2.0;6.0
531;3.0;6.0
532;4.0;6.0
533;5.0;6.0
534;6.0;6.0
535;7.0;1.0
536;8.0;1.0
537;9.0;4.0
538;10.0;0.0
539;11.0;0.0
540;12.0;3.0
541;13.0;3.0
542;14.0;0.0
543;15.0;0.0
544;16.0;0.0
545;17.0;0.0
546;18.0;0.0
547;19.0;5.0
548;20.0;5.0
549;21.0;0.0
550;22.0;6.0
551;23.0;6.0
552;0.0;6.0
553;1.0;6.0
554;2.0;6.0
555;3.0;6.0
556;4.0;6.0
557;5.0;6.0
558;6.0;6.0
559;7.0;6.0
560;8.0;0.0
561;9.0;1.0
562;10.0;1.0
563;11.0;0.0
564;12.0;0.0
565;13.0;3.0
566;14.0;3.0
567;15.0;0.0
568;16.0;0.0
569;17.0;0.0
570;18.0;0.0
571;19.0;5.0
572;20.0;5.0
573;21.0;0.0
574;22.0;6.0
575;23.0;6.0
576;0.0;6.0
577;1.0;6.0
578;2.0;6.0
579;3.0;6.0
580;4.0;6.0
581;5.0;6.0
582;6.0;6.0
583;7.0;6.0
584;8.0;4.0
585;9.0;0.0
586;10.0;4.0
587;11.0;0.0
588;12.0;3.0
589;13.0;3.0
590;14.0;0.0
591;15.0;0.0
592;16.0;0.0
593;17.0;0.0
594;18.0;0.0
595;19.0;5.0
596;20.0;5.0
597;21.0;0.0
598;22.0;6.0
599;23.0;6.0
600;0.0;6.0
601;1.0;6.0
602;2.0;6.0
603;3.0;6.0
604;4.0;6.0
605;5.0;6.0
606;6.0;6.0
607;7.0;0.0
608;8.0;1.0
609;9.0;1.0
610;10.0;0.0
611;11.0;4.0
612;12.0;0.0
613;13.0;3.0
614;14.0;3.0
615;15.0;0.0
616;16.0;0.0
617;17.0;0.0
618;18.0;5.0
619;19.0;5.0
620;20.0;0.0
621;21.0;0.0
622;22.0;6.0
623;23.0;6.0
624;0.0;6.0
625;1.0;6.0
626;2.0;6.0
627;3.0;6.0
628;4.0;6.0
629;5.0;6.0
630;6.0;6.0
631;7.0;0.0
632;8.0;1.0
633;9.0;1.0
634;10.0;4.0
635;11.0;0.0
636;12.0;4.0
637;13.0;3.0
638;14.0;3.0
639;15.0;0.0
640;16.0;0.0
641;17.0;0.0
642;18.0;5.0
643;19.0;5.0
644;20.0;4.0
645;21.0;0.0
646;22.0;6.0
647;23.0;6.0
648;0.0;6.0
649;1.0;6.0
650;2.0;6.0
651;3.0;6.0
652;4.0;6.0
653;5.0;6.0
654;6.0;6.0
655;7.0;6.0
656;8.0;6.0
657;9.0;0.0
658;10.0;4.0
659;11.0;0.0
660;12.0;3.0
661;13.0;0.0
662;14.0;0.0
663;15.0;0.0
664;16.0;0.0
665;17.0;0.0
666;18.0;5.0
667;19.0;5.0
668;20.0;0.0
669;21.0;0.0
670;22.0;0.0
671;23.0;6.0
672;0.0;6.0
673;1.0;6.0
674;2.0;6.0
675;3.0;6.0
676;4.0;6.0
677;5.0;6.0
678;6.0;6.0
679;7.0;6.0
680;8.0;6.0
681;9.0;1.0
682;10.0;1.0
683;11.0;0.0
684;12.0;0.0
685;13.0;3.0
686;14.0;0.0
687;15.0;0.0
688;16.0;0.0
689;17.0;0.0
690;18.0;0.0
691;19.0;5.0
692;20.0;5.0
693;21.0;0.0
694;22.0;6.0
695;23.0;6.0
696;0.0;6.0
697;1.0;6.0
698;2.0;6.0
699;3.0;6.0
700;4.0;6.0
701;5.0;6.0
702;6.0;6.0
703;7.0;6.0
704;8.0;1.0
705;9.0;1.0
706;10.0;4.0
707;11.0;0.0
708;12.0;3.0
709;13.0;0.0
710;14.0;0.0
711;15.0;0.0
712;16.0;0.0
713;17.0;0.0
714;18.0;0.0
715;19.0;5.0
716;20.0;5.0
717;21.0;0.0
718;22.0;6.0
719;23.0;6.0
720;0.0;6.0
721;1.0;6.0
722;2.0;6.0
723;3.0;6.0
724;4.0;6.0
725;5.0;6.0
726;6.0;6.0
727;7.0;6.0
728;8.0;6.0
729;9.0;1.0
730;10.0;4.0
731;11.0;0.0
732;12.0;3.0
733;13.0;0.0
734;14.0;0.0
735;15.0;0.0
736;16.0;0.0
737;17.0;0.0
738;18.0;0.0
739;19.0;5.0
740;20.0;5.0
741;21.0;0.0
742;22.0;6.0
743;23.0;6.0
744;0.0;6.0
745;1.0;6.0
746;2.0;6.0
747;3.0;6.0
748;4.0;6.0
749;5.0;6.0
750;6.0;6.0
751;7.0;6.0
752;8.0;6.0
753;9.0;1.0
754;10.0;4.0
755;11.0;0.0
756;12.0;3.0
757;13.0;3.0
758;14.0;0.0
759;15.0;0.0
760;16.0;0.0
761;17.0;4.0
762;18.0;5.0
763;19.0;5.0
764;20.0;0.0
765;21.0;0.0
766;22.0;6.0
767;23.0;6.0
768;0.0;6.0
769;1.0;6.0
770;2.0;6.0
771;3.0;6.0
772;4.0;6.0
773;5.0;6.0
774;6.0;6.0
775;7.0;0.0
776;8.0;4.0
777;9.0;1.0
778;10.0;0.0
779;11.0;0.0
780;12.0;3.0
781;13.0;0.0
782;14.0;0.0
783;15.0;0.0
784;16.0;0.0
785;17.0;4.0
786;18.0;5.0
787;19.0;5.0
788;20.0;0.0
789;21.0;0.0
790;22.0;6.0
791;23.0;6.0
792;0.0;6.0
793;1.0;6.0
794;2.0;6.0
795;3.0;6.0
796;4.0;6.0
797;5.0;6.0
798;6.0;6.0
799;7.0;6.0
800;8.0;6.0
801;9.0;0.0
802;10.0;4.0
803;11.0;0.0
804;12.0;3.0
805;13.0;0.0
806;14.0;0.0
807;15.0;0.0
808;16.0;0.0
809;17.0;0.0
810;18.0;5.0
811;19.0;5.0
812;20.0;0.0
813;21.0;0.0
814;22.0;6.0
815;23.0;6.0
816;0.0;6.0
817;1.0;6.0
818;2.0;6.0
819;3.0;6.0
820;4.0;6.0
821;5.0;6.0
822;6.0;6.0
823;7.0;6.0
824;8.0;0.0
825;9.0;1.0
826;10.0;1.0
827;11.0;0.0
828;12.0;0.0
829;13.0;3.0
830;14.0;0.0
831;15.0;0.0
832;16.0;0.0
833;17.0;0.0
834;18.0;5.0
835;19.0;5.0
836;20.0;0.0
837;21.0;0.0
838;22.0;6.0
839;23.0;6.0
840;0.0;6.0
841;1.0;6.0
842;2.0;6.0
843;3.0;6.0
844;4.0;6.0
845;5.0;6.0
846;6.0;0.0
847;7.0;4.0
848;8.0;0.0
849;9.0;1.0
850;10.0;0.0
851;11.0;0.0
852;12.0;0.0
853;13.0;3.0
854;14.0;0.0
855;15.0;0.0
856;16.0;0.0
857;17.0;0.0
858;18.0;0.0
859;19.0;5.0
860;20.0;5.0
861;21.0;4.0
862;22.0;0.0
863;23.0;6.0
864;0.0;6.0
865;1.0;6.0
866;2.0;6.0
867;3.0;6.0
868;4.0;6.0
869;5.0;6.0
870;6.0;6.0
871;7.0;6.0
872;8.0;1.0
873;9.0;1.0
874;10.0;4.0
875;11.0;0.0
876;12.0;3.0
877;13.0;3.0
878;14.0;0.0
879;15.0;0.0
880;16.0;4.0
881;17.0;0.0
882;18.0;0.0
883;19.0;5.0
884;20.0;5.0
885;21.0;0.0
886;22.0;0.0
887;23.0;6.0
888;0.0;6.0
889;1.0;6.0
890;2.0;6.0
891;3.0;6.0
892;4.0;6.0
893;5.0;6.0
894;6.0;6.0
895;7.0;6.0
896;8.0;6.0
897;9.0;0.0
898;10.0;4.0
899;11.0;0.0
900;12.0;3.0
901;13.0;3.0
902;14.0;0.0
903;15.0;0.0
904;16.0;0.0
905;17.0;0.0
906;18.0;0.0
907;19.0;5.0
908;20.0;0.0
909;21.0;0.0
910;22.0;6.0
911;23.0;6.0
912;0.0;6.0
913;1.0;6.0
914;2.0;6.0
915;3.0;6.0
916;4.0;6.0
917;5.0;6.0
918;6.0;6.0
919;7.0;0.0
920;8.0;4.0
921;9.0;1.0
922;10.0;0.0
923;11.0;0.0
924;12.0;0.0
925;13.0;3.0
926;14.0;3.0
927;15.0;4.0
928;16.0;0.0
929;17.0;4.0
930;18.0;0.0
931;19.0;5.0
932;20.0;5.0
933;21.0;0.0
934;22.0;0.0
935;23.0;6.0
936;0.0;6.0
937;1.0;6.0
938;2.0;6.0
939;3.0;6.0
940;4.0;6.0
941;5.0;6.0
942;6.0;6.0
943;7.0;6.0
944;8.0;1.0
945;9.0;1.0
946;10.0;4.0
947;11.0;0.0
948;12.0;0.0
949;13.0;3.0
950;14.0;0.0
951;15.0;0.0
952;16.0;0.0
953;17.0;4.0
954;18.0;5.0
955;19.0;5.0
956;20.0;0.0
957;21.0;0.0
958;22.0;6.0
959;23.0;6.0
960;0.0;6.0
961;1.0;6.0
962;2.0;6.0
963;3.0;6.0
964;4.0;6.0
965;5.0;6.0
966;6.0;6.0
967;7.0;6.0
968;8.0;0.0
969;9.0;1.0
970;10.0;1.0
971;11.0;0.0
972;12.0;3.0
973;13.0;0.0
974;14.0;0.0
975;15.0;0.0
976;16.0;0.0
977;17.0;0.0
978;18.0;5.0
979;19.0;5.0
980;20.0;0.0
981;21.0;0.0
982;22.0;6.0
983;23.0;6.0
984;0.0;6.0
985;1.0;6.0
986;2.0;6.0
987;3.0;6.0
988;4.0;6.0
989;5.0;6.0
990;6.0;6.0
991;7.0;6.0
992;8.0;1.0
993;9.0;0.0
994;10.0;0.0
995;11.0;0.0
996;12.0;3.0
997;13.0;0.0
998;14.0;0.0
999;15.0;4.0
1000;16.0;0.0
1001;17.0;0.0
1002;18.0;5.0
1003;19.0;5.0
1004;20.0;0.0
1005;21.0;0.0
1006;22.0;6.0
1007;23.0;6.0
1008;0.0;6.0
1009;1.0;6.0
1010;2.0;6.0
1011;3.0;6.0
1012;4.0;6.0
1013;5.0;6.0
1014;6.0;6.0
1015;7.0;0.0
1016;8.0;4.0
1017;9.0;1.0
1018;10.0;0.0
1019;11.0;0.0
1020;12.0;3.0
1021;13.0;0.0
1022;14.0;0.0
1023;15.0;0.0
1024;16.0;0.0
1025;17.0;0.0
1026;18.0;5.0
1027;19.0;0.0
1028;20.0;0.0
1029;21.0;0.0
1030;22.0;6.0
1031;23.0;6.0
1032;0.0;6.0
1033;1.0;6.0
1034;2.0;6.0
1035;3.0;6.0
1036;4.0;6.0
1037;5.0;6.0
1038;6.0;6.0
1039;7.0;6.0
1040;8.0;0.0
1041;9.0;1.0
1042;10.0;1.0
1043;11.0;4.0
1044;12.0;0.0
1045;13.0;3.0
1046;14.0;3.0
1047;15.0;0.0
1048;16.0;0.0
1049;17.0;0.0
1050;18.0;0.0
1051;19.0;5.0
1052;20.0;0.0
1053;21.0;4.0
1054;22.0;6.0
1055;23.0;6.0
1056;0.0;6.0
1057;1.0;6.0
1058;2.0;6.0
1059;3.0;6.0
1060;4.0;6.0
1061;5.0;6.0
1062;6.0;6.0
1063;7.0;0.0
1064;8.0;1.0
1065;9.0;1.0
1066;10.0;4.0
1067;11.0;0.0
1068;12.0;0.0
1069;13.0;3.0
1070;14.0;0.0
1071;15.0;0.0
1072;16.0;0.0
1073;17.0;0.0
1074;18.0;5.0
1075;19.0;5.0
1076;20.0;0.0
1077;21.0;0.0
1078;22.0;6.0
1079;23.0;6.0
1080;0.0;6.0
1081;1.0;6.0
1082;2.0;6.0
1083;3.0;6.0
1084;4.0;6.0
1085;5.0;6.0
1086;6.0;6.0
1087;7.0;6.0
1088;8.0;4.0
1089;9.0;1.0
1090;10.0;1.0
1091;11.0;0.0
1092;12.0;0.0
1093;13.0;3.0
1094;14.0;0.0
1095;15.0;0.0
1096;16.0;0.0
1097;17.0;0.0
1098;18.0;0.0
1099;19.0;5.0
1100;20.0;0.0
1101;21.0;0.0
1102;22.0;0.0
1103;23.0;6.0
1104;0.0;6.0
1105;1.0;6.0
1106;2.0;6.0
1107;3.0;6.0
1108;4.0;6.0
1109;5.0;6.0
1110;6.0;6.0
1111;7.0;6.0
1112;8.0;6.0
1113;9.0;4.0
1114;10.0;0.0
1115;11.0;4.0
1116;12.0;0.0
1117;13.0;3.0
1118;14.0;0.0
1119;15.0;0.0
1120;16.0;0.0
1121;17.0;0.0
1122;18.0;5.0
1123;19.0;5.0
1124;20.0;0.0
1125;21.0;0.0
1126;22.0;6.0
1127;23.0;6.0
1128;0.0;6.0
1129;1.0;6.0
1130;2.0;6.0
1131;3.0;6.0
1132;4.0;6.0
1133;5.0;6.0
1134;6.0;6.0
1135;7.0;0.0
1136;8.0;1.0
1137;9.0;1.0
1138;10.0;4.0
1139;11.0;0.0
1140;12.0;3.0
1141;13.0;0.0
1142;14.0;0.0
1143;15.0;0.0
1144;16.0;0.0
1145;17.0;0.0
1146;18.0;0.0
1147;19.0;5.0
1148;20.0;5.0
1149;21.0;0.0
1150;22.0;6.0
1151;23.0;6.0
1152;0.0;6.0
1153;1.0;6.0
1154;2.0;6.0
1155;3.0;6.0
1156;4.0;6.0
1157;5.0;6.0
1158;6.0;6.0
1159;7.0;6.0
1160;8.0;6.0
1161;9.0;0.0
1162;10.0;0.0
1163;11.0;0.0
1164;12.0;3.0
1165;13.0;0.0
1166;14.0;0.0
1167;15.0;0.0
1168;16.0;0.0
1169;17.0;4.0
1170;18.0;5.0
1171;19.0;5.0
1172;20.0;0.0
1173;21.0;0.0
1174;22.0;6.0
1175;23.0;6.0
1176;0.0;6.0
1177;1.0;6.0
1178;2.0;6.0
1179;3.0;6.0
1180;4.0;6.0
1181;5.0;6.0
1182;6.0;6.0
1183;7.0;6.0
1184;8.0;1.0
1185;9.0;1.0
1186;10.0;4.0
1187;11.0;0.0
1188;12.0;0.0
1189;13.0;3.0
1190;14.0;3.0
1191;15.0;0.0
1192;16.0;0.0
1193;17.0;0.0
1194;18.0;0.0
1195;19.0;5.0
1196;20.0;5.0
1197;21.0;0.0
1198;22.0;6.0
1199;23.0;6.0
1200;0.0;6.0
1201;1.0;6.0
1202;2.0;6.0
1203;3.0;6.0
1204;4.0;6.0
1205;5.0;6.0
1206;6.0;6.0
1207;7.0;6.0
1208;8.0;6.0
1209;9.0;4.0
1210;10.0;0.0
1211;11.0;0.0
1212;12.0;0.0
1213;13.0;3.0
1214;14.0;0.0
1215;15.0;0.0
1216;16.0;0.0
1217;17.0;4.0
1218;18.0;5.0
1219;19.0;0.0
1220;20.0;0.0
1221;21.0;0.0
1222;22.0;6.0
1223;23.0;6.0
1224;0.0;6.0
1225;1.0;6.0
1226;2.0;6.0
1227;3.0;6.0
1228;4.0;6.0
1229;5.0;6.0
1230;6.0;6.0
1231;7.0;6.0
1232;8.0;0.0
1233;9.0;1.0
1234;10.0;1.0
1235;11.0;0.0
1236;12.0;4.0
1237;13.0;3.0
1238;14.0;0.0
1239;15.0;0.0
1240;16.0;0.0
1241;17.0;0.0
1242;18.0;0.0
1243;19.0;5.0
1244;20.0;5.0
1245;21.0;0.0
1246;22.0;0.0
1247;23.0;6.0
1248;0.0;6.0
1249;1.0;6.0
1250;2.0;6.0
1251;3.0;6.0
1252;4.0;6.0
1253;5.0;6.0
1254;6.0;6.0
1255;7.0;6.0
1256;8.0;0.0
1257;9.0;1.0
1258;10.0;1.0
1259;11.0;0.0
1260;12.0;3.0
1261;13.0;3.0
1262;14.0;0.0
1263;15.0;0.0
1264;16.0;0.0
1265;17.0;0.0
1266;18.0;0.0
1267;19.0;5.0
1268;20.0;5.0
1269;21.0;0.0
1270;22.0;0.0
1271;23.0;6.0
1272;0.0;6.0
1273;1.0;6.0
1274;2.0;6.0
1275;3.0;6.0
1276;4.0;6.0
1277;5.0;6.0
1278;6.0;6.0
1279;7.0;6.0
1280;8.0;6.0
1281;9.0;1.0
1282;10.0;1.0
1283;11.0;0.0
1284;12.0;3.0
1285;13.0;3.0
1286;14.0;0.0
1287;15.0;0.0
1288;16.0;4.0
1289;17.0;0.0
1290;18.0;5.0
1291;19.0;5.0
1292;20.0;0.0
1293;21.0;0.0
1294;22.0;0.0
1295;23.0;6.0
1296;0.0;6.0
1297;1.0;6.0
1298;2.0;6.0
1299;3.0;6.0
1300;4.0;6.0
1301;5.0;6.0
1302;6.0;6.0
1303;7.0;0.0
1304;8.0;0.0
1305;9.0;1.0
1306;10.0;4.0
1307;11.0;0.0
1308;12.0;3.0
1309;13.0;3.0
1310;14.0;0.0
1311;15.0;0.0
1312;16.0;0.0
1313;17.0;0.0
1314;18.0;5.0
1315;19.0;5.0
1316;20.0;0.0
1317;21.0;0.0
1318;22.0;6.0
1319;23.0;6.0
1320;0.0;6.0
1321;1.0;6.0
1322;2.0;6.0
1323;3.0;6.0
1324;4.0;6.0
1325;5.0;6.0
1326;6.0;6.0
1327;7.0;6.0
1328;8.0;6.0
1329;9.0;0.0
1330;10.0;0.0
1331;11.0;0.0
1332;12.0;3.0
1333;13.0;3.0
1334;14.0;0.0
1335;15.0;4.0
1336;16.0;0.0
1337;17.0;0.0
1338;18.0;5.0
1339;19.0;5.0
1340;20.0;0.0
1341;21.0;0.0
1342;22.0;0.0
1343;23.0;6.0
1344;0.0;6.0
1345;1.0;6.0
1346;2.0;6.0
1347;3.0;6.0
1348;4.0;6.0
1349;5.0;6.0
1350;6.0;6.0
1351;7.0;1.0
1352;8.0;4.0
1353;9.0;0.0
1354;10.0;0.0
1355;11.0;0.0
1356;12.0;4.0
1357;13.0;0.0
1358;14.0;0.0
1359;15.0;0.0
1360;16.0;0.0
